Date,Time,Site,Unit ID,User ID,F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,algale_edibility,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
8/26/22,9:11:50 AM,Tank 12,Strauss lab 1,,77.676,751.6,88,7.21,215,216.5,214.8,4618,140,0.1,-3,-3,12.62,-424.4,0.21,0.19,inedible,0.13,0.25,-0.032,-0.037
8/26/22,9:11:53 AM,Tank 12,Strauss lab 1,,77.678,751.6,88,7.22,215,216.5,214.8,4618,140,0.1,-3,-3,12.62,-423.9,0.24,0.22,inedible,0.1,0.14,-0.033,-0.025
8/26/22,9:11:56 AM,Tank 12,Strauss lab 1,,77.679,751.6,88,7.22,215,216.5,214.8,4618,140,0.1,-3,-3,12.61,-423.5,0.22,0.2,inedible,0.08,0.06,-0.035,-0.031
8/26/22,9:11:59 AM,Tank 12,Strauss lab 1,,77.679,751.5,88.1,7.22,215,216.6,214.8,4618,140,0.1,-3,-3,12.6,-423.1,0.21,0.19,inedible,0.08,0.08,-0.035,-0.024
8/26/22,9:12:02 AM,Tank 12,Strauss lab 1,,77.679,751.6,88.1,7.23,215,216.6,214.9,4617,140,0.1,-3,-3,12.59,-422.6,0.08,0.06,inedible,0.07,0.01,-0.035,-0.038
8/26/22,9:12:05 AM,Tank 12,Strauss lab 1,,77.679,751.6,88.2,7.23,215,216.6,214.9,4618,140,0.1,-3,-3,12.59,-422.2,0.14,0.12,inedible,0.13,0.27,-0.035,-0.039
8/26/22,9:12:08 AM,Tank 12,Strauss lab 1,,77.678,751.6,88.2,7.23,215,216.5,214.8,4618,140,0.1,-3,-3,12.58,-421.8,0.1,0.08,inedible,0.12,0.22,-0.035,-0.039
8/26/22,9:12:11 AM,Tank 12,Strauss lab 1,,77.678,751.6,88.2,7.23,215,216.5,214.8,4618,140,0.1,-3,-3,12.57,-421.4,0.21,0.19,inedible,0.11,0.18,-0.035,-0.024
8/26/22,9:12:14 AM,Tank 12,Strauss lab 1,,77.678,751.6,88.2,7.24,215,216.5,214.8,4618,140,0.1,-3,-3,12.57,-421,0.09,0.07,edible,0.09,0.11,-0.034,-0.021
8/26/22,9:13:03 AM,Tank 12,Strauss lab 1,,77.292,751.6,86.8,7.15,215.4,216.1,215.4,4627,140,0.1,-2.9,-2.9,12.56,-420.5,0.12,0.09,edible,0.07,0.02,-0.031,-0.027
8/26/22,9:13:06 AM,Tank 12,Strauss lab 1,,77.29,751.5,87.3,7.19,215.5,216.1,215.4,4627,140,0.1,-2.9,-2.9,12.57,-421,0.16,0.14,edible,0.11,0.18,-0.033,-0.019
8/26/22,9:13:09 AM,Tank 12,Strauss lab 1,,77.287,751.6,87.7,7.22,215.5,216.1,215.4,4627,140,0.1,-2.9,-2.9,12.58,-421.4,0.16,0.13,edible,0.11,0.2,-0.037,-0.042
8/26/22,9:13:12 AM,Tank 12,Strauss lab 1,,77.285,751.7,88.1,7.25,215.5,216.1,215.4,4626,140,0.1,-2.9,-2.9,12.58,-421.6,0.14,0.12,edible,0.12,0.23,-0.037,-0.052
8/26/22,9:13:15 AM,Tank 12,Strauss lab 1,,77.283,751.7,88.4,7.28,215.5,216.1,215.4,4626,140,0.1,-2.9,-2.9,12.58,-421.7,0.24,0.22,edible,0.09,0.1,-0.036,-0.04
8/26/22,9:13:18 AM,Tank 12,Strauss lab 1,,77.281,751.5,88.6,7.3,215.5,216.1,215.4,4627,140,0.1,-2.9,-2.9,12.58,-421.7,0.12,0.1,edible,0.08,0.06,-0.035,-0.037
8/26/22,9:13:21 AM,Tank 12,Strauss lab 1,,77.279,751.6,88.8,7.31,215.5,216.1,215.4,4627,140,0.1,-2.9,-2.9,12.58,-421.7,0.09,0.07,edible,0.16,0.4,-0.037,-0.031
8/26/22,9:14:14 AM,Tank 21,Strauss lab 1,,71.219,751.5,114.1,10.01,193.6,181.7,194.7,5504,126,0.09,-2.1,-2.1,13.79,-487.1,1.03,1.01,inedible,0.63,2.36,-0.036,-0.042
8/26/22,9:14:17 AM,Tank 21,Strauss lab 1,,71.211,751.5,116.7,10.24,193.8,181.9,194.9,5499,126,0.09,-2.1,-2.1,13.86,-491.6,1,0.98,inedible,0.56,2.05,-0.035,-0.032
8/26/22,9:14:20 AM,Tank 21,Strauss lab 1,,71.205,751.6,118.2,10.38,193.9,182,195.1,5494,126,0.09,-2.1,-2.1,13.93,-495.2,1.02,1.01,inedible,0.51,1.86,-0.035,-0.023
8/26/22,9:14:23 AM,Tank 21,Strauss lab 1,,71.145,751.5,119.3,10.48,194.1,182.1,195.3,5492,126,0.09,-2.1,-2.1,13.96,-497.3,0.99,0.98,inedible,0.53,1.91,-0.037,-0.031
8/26/22,9:14:26 AM,Tank 21,Strauss lab 1,,71.208,751.6,120.8,10.6,194.1,182.1,195.2,5490,126,0.09,-2.1,-2.1,13.99,-498.7,0.97,0.96,inedible,0.6,2.21,-0.037,-0.042
8/26/22,9:15:13 AM,Tank 21,Strauss lab 1,,71.321,751.6,106.4,9.33,192.6,181,193.8,5524,125,0.09,-2.1,-2.1,13.69,-481.6,0.73,0.72,edible,0.42,1.49,-0.033,-0.024
8/26/22,9:15:16 AM,Tank 21,Strauss lab 1,,71.334,751.7,107.3,9.41,192.6,181,193.7,5524,125,0.09,-2.1,-2.1,13.73,-483.9,0.77,0.75,edible,0.46,1.65,-0.032,-0.017
8/26/22,9:15:19 AM,Tank 21,Strauss lab 1,,71.342,751.6,108,9.46,192.5,181,193.7,5525,125,0.09,-2.1,-2.1,13.75,-485.2,0.76,0.75,edible,0.4,1.41,-0.033,-0.031
8/26/22,9:15:22 AM,Tank 21,Strauss lab 1,,71.348,751.6,109,9.55,192.5,180.9,193.6,5527,125,0.09,-2.1,-2.1,13.77,-486.2,0.74,0.73,edible,0.4,1.38,-0.036,-0.04
8/26/22,9:15:25 AM,Tank 21,Strauss lab 1,,71.352,751.6,110.2,9.66,192.4,180.9,193.5,5529,125,0.09,-2.1,-2.1,13.78,-486.7,0.72,0.71,edible,0.34,1.16,-0.035,-0.039
8/26/22,9:15:28 AM,Tank 21,Strauss lab 1,,71.361,751.7,111.2,9.74,192.3,180.8,193.4,5530,125,0.09,-2.1,-2.1,13.78,-486.9,0.68,0.66,edible,0.27,0.85,-0.035,-0.039
8/26/22,9:15:31 AM,Tank 21,Strauss lab 1,,71.379,751.6,112,9.81,192.2,180.8,193.4,5532,125,0.09,-2.1,-2.1,13.78,-486.8,0.67,0.65,edible,0.27,0.86,-0.035,-0.03
8/26/22,9:15:34 AM,Tank 21,Strauss lab 1,,71.41,751.7,112.7,9.87,192.1,180.7,193.3,5533,125,0.09,-2.1,-2.1,13.77,-486.6,0.6,0.58,edible,0.28,0.91,-0.036,-0.027
8/26/22,9:16:26 AM,Tank 24,Strauss lab 1,,71.688,751.6,96.9,8.46,180.1,170,181.1,5883,117,0.08,-2.2,-2.2,13.33,-461.1,0.33,0.31,inedible,0.21,0.62,-0.035,-0.038
8/26/22,9:16:29 AM,Tank 24,Strauss lab 1,,71.712,751.5,98.6,8.61,180.2,170.1,181.2,5880,117,0.08,-2.2,-2.2,13.34,-462.1,0.36,0.34,inedible,0.29,0.93,-0.035,-0.036
8/26/22,9:16:32 AM,Tank 24,Strauss lab 1,,71.729,751.6,99.9,8.72,180.2,170.1,181.2,5878,117,0.08,-2.2,-2.2,13.36,-463,0.25,0.23,inedible,0.28,0.9,-0.036,-0.042
8/26/22,9:16:35 AM,Tank 24,Strauss lab 1,,71.747,751.6,101.1,8.82,180.2,170.1,181.2,5877,117,0.08,-2.2,-2.2,13.37,-463.8,0.21,0.19,inedible,0.26,0.82,-0.034,-0.033
8/26/22,9:16:38 AM,Tank 24,Strauss lab 1,,71.766,751.7,102,8.9,180.2,170.2,181.1,5877,117,0.08,-2.2,-2.2,13.39,-464.5,0.2,0.17,inedible,0.18,0.49,-0.034,-0.042
8/26/22,9:16:41 AM,Tank 24,Strauss lab 1,,71.784,751.6,102.7,8.96,180.1,170.1,181.1,5877,117,0.08,-2.2,-2.2,13.39,-464.9,0.23,0.21,inedible,0.2,0.56,-0.034,-0.018
8/26/22,9:17:21 AM,Tank 24,Strauss lab 1,,71.804,751.6,97.4,8.5,180.4,170.4,181.3,5868,117,0.08,-2.2,-2.2,13.22,-454.9,0.18,0.16,edible,0.18,0.46,-0.037,-0.04
8/26/22,9:17:24 AM,Tank 24,Strauss lab 1,,71.799,751.6,98.6,8.6,180.5,170.5,181.4,5865,117,0.08,-2.2,-2.2,13.23,-455.8,0.14,0.11,edible,0.14,0.32,-0.039,-0.04
8/26/22,9:17:27 AM,Tank 24,Strauss lab 1,,71.804,751.6,99.5,8.68,180.5,170.5,181.5,5864,117,0.08,-2.2,-2.2,13.24,-456.4,0.14,0.12,edible,0.06,-0.03,-0.039,-0.051
8/26/22,9:17:30 AM,Tank 24,Strauss lab 1,,71.812,751.6,100.2,8.74,180.5,170.5,181.4,5864,117,0.08,-2.2,-2.2,13.25,-456.7,0.16,0.14,edible,0.13,0.26,-0.035,-0.032
8/26/22,9:17:33 AM,Tank 24,Strauss lab 1,,71.823,751.6,100.8,8.78,180.4,170.5,181.4,5864,117,0.08,-2.2,-2.2,13.25,-456.8,0.25,0.22,edible,0.18,0.47,-0.035,-0.041
8/26/22,9:17:36 AM,Tank 24,Strauss lab 1,,71.833,751.6,101.2,8.82,180.4,170.5,181.4,5865,117,0.08,-2.2,-2.2,13.25,-456.6,0.31,0.29,edible,0.21,0.59,-0.035,-0.024
8/26/22,9:17:39 AM,Tank 24,Strauss lab 1,,71.844,751.7,101.6,8.85,180.3,170.5,181.3,5866,117,0.08,-2.2,-2.2,13.24,-456.4,0.35,0.33,edible,0.19,0.54,-0.033,-0.02
8/26/22,9:18:23 AM,Tank 26,Strauss lab 1,,77.23,751.6,95.7,7.89,220.8,221.4,220.8,4518,144,0.1,-2.9,-2.9,12,-388.1,0.41,0.39,inedible,1.74,6.98,-0.034,-0.054
8/26/22,9:18:26 AM,Tank 26,Strauss lab 1,,77.229,751.6,96.6,7.96,220.8,221.3,220.7,4518,144,0.1,-2.9,-2.9,12.01,-388.5,0.23,0.21,inedible,1.92,7.73,-0.035,-0.051
8/26/22,9:18:29 AM,Tank 26,Strauss lab 1,,77.229,751.6,97.3,8.02,220.8,221.3,220.7,4519,143,0.1,-2.9,-2.9,12.02,-389,0.32,0.29,inedible,1.8,7.22,-0.034,-0.031
8/26/22,9:18:32 AM,Tank 26,Strauss lab 1,,77.23,751.7,97.9,8.07,220.7,221.3,220.7,4519,143,0.1,-2.9,-2.9,12.03,-389.6,0.34,0.32,inedible,1.53,6.1,-0.034,-0.037
8/26/22,9:18:35 AM,Tank 26,Strauss lab 1,,77.231,751.6,98.4,8.11,220.7,221.3,220.7,4519,143,0.1,-2.9,-2.9,12.04,-390.1,0.37,0.35,inedible,1.54,6.12,-0.035,-0.026
8/26/22,9:18:38 AM,Tank 26,Strauss lab 1,,77.232,751.5,98.8,8.14,220.7,221.3,220.7,4520,143,0.1,-2.9,-2.9,12.05,-390.6,0.38,0.36,inedible,1.59,6.35,-0.032,-0.02
8/26/22,9:19:18 AM,Tank 26,Strauss lab 1,,77.327,751.7,91,7.49,221.9,222.6,221.8,4492,144,0.1,-2.9,-2.9,12.03,-389.9,0.27,0.25,edible,1.34,5.28,-0.034,-0.017
8/26/22,9:19:21 AM,Tank 26,Strauss lab 1,,77.348,751.7,91.7,7.55,221.9,222.7,221.8,4490,144,0.1,-2.9,-2.9,12.07,-391.7,0.34,0.32,edible,1.4,5.56,-0.034,-0.039
8/26/22,9:19:24 AM,Tank 26,Strauss lab 1,,77.355,751.6,92.2,7.59,221.9,222.7,221.8,4490,144,0.1,-2.9,-2.9,12.09,-393.2,0.36,0.34,edible,1.4,5.57,-0.034,-0.043
8/26/22,9:19:27 AM,Tank 26,Strauss lab 1,,77.36,751.7,93.4,7.68,221.9,222.8,221.8,4489,144,0.1,-2.9,-2.9,12.11,-394.6,0.3,0.28,edible,1.44,5.71,-0.033,-0.032
8/26/22,9:19:30 AM,Tank 26,Strauss lab 1,,77.362,751.6,94.2,7.75,221.9,222.8,221.9,4488,144,0.1,-2.9,-2.9,12.13,-395.7,0.26,0.24,edible,1.44,5.73,-0.034,-0.024
8/26/22,9:19:33 AM,Tank 26,Strauss lab 1,,77.362,751.6,94.9,7.81,222,222.8,221.9,4488,144,0.1,-2.9,-2.9,12.15,-396.8,0.27,0.25,edible,1.48,5.9,-0.035,-0.042
8/26/22,9:19:36 AM,Tank 26,Strauss lab 1,,77.363,751.7,95.4,7.85,222,222.8,221.9,4487,144,0.1,-2.9,-2.9,12.17,-397.9,0.33,0.31,edible,1.47,5.86,-0.035,-0.039
8/26/22,9:19:39 AM,Tank 26,Strauss lab 1,,77.363,751.6,95.9,7.89,222,222.9,221.9,4487,144,0.1,-2.9,-2.9,12.19,-398.7,0.35,0.33,edible,1.53,6.09,-0.033,-0.037
8/26/22,9:20:38 AM,Tank 27,Strauss lab 1,,77.088,751.7,99.1,8.17,234.1,234.3,234.1,4268,152,0.11,-2.9,-2.9,12.42,-412.2,1.4,1.39,inedible,7.82,32.27,-0.033,-0.048
8/26/22,9:20:41 AM,Tank 27,Strauss lab 1,,77.099,751.6,99.7,8.22,234.3,234.6,234.3,4263,152,0.11,-2.9,-2.9,12.43,-412.9,1.19,1.17,inedible,4.9,20.11,-0.032,-0.021
8/26/22,9:20:44 AM,Tank 27,Strauss lab 1,,77.074,751.6,100.3,8.28,234.4,234.6,234.4,4263,152,0.11,-2.9,-2.9,12.44,-413.5,1.11,1.09,inedible,9.11,37.62,-0.034,-0.031
8/26/22,9:20:47 AM,Tank 27,Strauss lab 1,,77.07,751.6,100.8,8.32,234.4,234.6,234.4,4263,152,0.11,-2.9,-2.9,12.45,-414.1,0.99,0.97,inedible,6.94,28.59,-0.037,-0.039
8/26/22,9:20:50 AM,Tank 27,Strauss lab 1,,77.074,751.5,101.1,8.35,234.4,234.6,234.4,4263,152,0.11,-2.9,-2.9,12.46,-414.6,1.44,1.43,inedible,15.19,62.92,-0.035,-0.038
8/26/22,9:20:53 AM,Tank 27,Strauss lab 1,,77.078,751.7,101.4,8.37,234.4,234.6,234.4,4263,152,0.11,-2.9,-2.9,12.47,-415,1.65,1.64,inedible,10.74,44.43,-0.036,-0.039
8/26/22,9:20:56 AM,Tank 27,Strauss lab 1,,77.08,751.7,101.6,8.38,234.3,234.5,234.3,4264,152,0.11,-2.9,-2.9,12.48,-415.4,1.81,1.81,inedible,13.91,57.62,-0.036,-0.039
8/26/22,9:20:59 AM,Tank 27,Strauss lab 1,,77.081,751.6,101.7,8.39,234.3,234.5,234.3,4264,152,0.11,-2.9,-2.9,12.48,-415.7,1.77,1.77,inedible,10.35,42.78,-0.036,-0.026
8/26/22,9:21:36 AM,Tank 27,Strauss lab 1,,76.83,751.6,95.1,7.87,233.9,233.5,234,4283,152,0.11,-2.8,-2.8,12.47,-415.2,0.03,0.01,edible,0.21,0.62,-0.032,-0.016
8/26/22,9:21:39 AM,Tank 27,Strauss lab 1,,76.866,751.6,95.8,7.93,234.4,234,234.4,4273,152,0.11,-2.8,-2.8,12.5,-416.8,0.06,0.03,edible,0.2,0.54,-0.035,-0.023
8/26/22,9:21:42 AM,Tank 27,Strauss lab 1,,76.873,751.6,96.3,7.96,234.6,234.2,234.6,4269,152,0.11,-2.9,-2.9,12.52,-417.9,0.04,0.01,edible,0.15,0.34,-0.036,-0.051
8/26/22,9:21:45 AM,Tank 27,Strauss lab 1,,76.877,751.6,96.7,8,234.6,234.3,234.6,4268,152,0.11,-2.9,-2.9,12.54,-419,0.12,0.09,edible,0.18,0.46,-0.034,-0.042
8/26/22,9:21:48 AM,Tank 27,Strauss lab 1,,76.895,751.6,97.2,8.04,234.6,234.3,234.6,4268,152,0.11,-2.9,-2.9,12.55,-419.8,0.11,0.09,edible,0.18,0.49,-0.031,-0.021
8/26/22,9:21:51 AM,Tank 27,Strauss lab 1,,76.904,751.6,97.7,8.08,234.6,234.3,234.6,4268,152,0.11,-2.9,-2.9,12.56,-420.4,0.18,0.15,edible,0.25,0.77,-0.033,-0.029
8/26/22,9:21:54 AM,Tank 27,Strauss lab 1,,76.908,751.6,98.1,8.11,234.6,234.4,234.6,4267,152,0.11,-2.9,-2.9,12.57,-420.9,0.16,0.14,edible,0.22,0.64,-0.035,-0.037
8/26/22,9:21:57 AM,Tank 27,Strauss lab 1,,76.908,751.6,98.4,8.13,234.6,234.4,234.7,4266,153,0.11,-2.9,-2.9,12.58,-421.3,0.16,0.13,edible,0.19,0.52,-0.034,-0.022
8/26/22,9:22:54 AM,Tank 38,Strauss lab 1,,71.598,751.6,101.8,8.9,180.9,170.6,181.9,5863,118,0.09,-2.2,-2.2,13.7,-482.6,0.43,0.41,inedible,1.3,5.12,-0.034,-0.023
8/26/22,9:22:57 AM,Tank 38,Strauss lab 1,,71.604,751.6,102.5,8.96,180.9,170.6,181.9,5863,118,0.09,-2.2,-2.2,13.7,-482.4,0.35,0.33,inedible,1.34,5.29,-0.033,-0.023
8/26/22,9:23:00 AM,Tank 38,Strauss lab 1,,71.601,751.6,103.1,9.01,181,170.6,182,5862,118,0.09,-2.2,-2.2,13.69,-481.8,0.41,0.38,inedible,1.27,5.03,-0.035,-0.036
8/26/22,9:23:03 AM,Tank 38,Strauss lab 1,,71.601,751.6,103.5,9.05,181,170.6,182,5862,118,0.09,-2.2,-2.2,13.68,-481.2,0.32,0.3,inedible,1.21,4.76,-0.036,-0.039
8/26/22,9:23:06 AM,Tank 38,Strauss lab 1,,71.605,751.7,104,9.09,181,170.6,182,5861,118,0.09,-2.2,-2.2,13.66,-480.4,0.31,0.29,inedible,1.16,4.56,-0.036,-0.028
8/26/22,9:23:09 AM,Tank 38,Strauss lab 1,,71.619,751.7,104.3,9.12,181,170.6,182,5860,118,0.09,-2.2,-2.2,13.65,-479.6,0.36,0.34,inedible,1.36,5.37,-0.035,-0.031
8/26/22,9:23:55 AM,Tank 38,Strauss lab 1,,71.342,751.7,97.7,8.56,181.3,170.4,182.4,5868,118,0.09,-2.1,-2.1,13.39,-464.8,0.09,0.07,edible,0.21,0.58,-0.035,-0.04
8/26/22,9:23:58 AM,Tank 38,Strauss lab 1,,71.376,751.6,98.9,8.66,181.3,170.5,182.4,5865,118,0.09,-2.1,-2.1,13.41,-465.6,0.07,0.05,edible,0.19,0.53,-0.035,-0.051
8/26/22,9:24:01 AM,Tank 38,Strauss lab 1,,71.4,751.7,99.7,8.73,181.3,170.6,182.4,5863,118,0.09,-2.1,-2.1,13.41,-465.9,0.07,0.05,edible,0.24,0.71,-0.033,-0.023
8/26/22,9:24:04 AM,Tank 38,Strauss lab 1,,71.424,751.6,100.4,8.79,181.3,170.6,182.4,5862,118,0.09,-2.1,-2.1,13.42,-466.1,0.06,0.04,edible,0.25,0.78,-0.032,-0.017
8/26/22,9:24:07 AM,Tank 38,Strauss lab 1,,71.439,751.6,101,8.84,181.3,170.6,182.4,5861,118,0.09,-2.1,-2.1,13.41,-466,0.1,0.08,edible,0.22,0.64,-0.035,-0.031
8/26/22,9:24:10 AM,Tank 38,Strauss lab 1,,71.45,751.6,101.3,8.87,181.3,170.6,182.3,5861,118,0.09,-2.1,-2.1,13.41,-465.7,0.21,0.19,edible,0.2,0.54,-0.034,-0.036
8/26/22,9:25:03 AM,Tank 39,Strauss lab 1,,71.82,751.6,84.7,7.39,181.2,171.3,182.2,5838,118,0.09,-2.2,-2.2,13.01,-443.2,0.39,0.37,inedible,0.62,2.3,-0.035,-0.045
8/26/22,9:25:06 AM,Tank 39,Strauss lab 1,,71.849,751.7,85.4,7.45,181.2,171.3,182.2,5838,118,0.09,-2.2,-2.2,13.03,-443.9,0.35,0.33,inedible,0.64,2.38,-0.035,-0.023
8/26/22,9:25:09 AM,Tank 39,Strauss lab 1,,71.87,751.7,85.9,7.49,181.2,171.3,182.1,5838,118,0.09,-2.2,-2.2,13.03,-444.4,0.25,0.23,inedible,0.67,2.52,-0.035,-0.031
8/26/22,9:25:12 AM,Tank 39,Strauss lab 1,,71.89,751.6,86.4,7.53,181.1,171.3,182,5839,118,0.09,-2.2,-2.2,13.04,-444.7,0.32,0.3,inedible,0.69,2.61,-0.033,-0.037
