tube,species,mean_temp,temp_var,temp_id,resource,male,REMOVED,KBP,end_data_date,4/10/22,4/11/22,4/12/22,4/13/22,4/14/22,4/15/22,4/16/22,4/17/22,4/18/22,4/19/22,4/20/22,4/21/22,4/22/22,4/23/22,4/24/22,4/25/22,4/26/22,4/27/22,4/28/22,4/29/22,4/30/22,5/1/22,5/2/22,5/3/22,5/4/22,5/5/22,5/6/22,5/7/22,5/8/22,5/9/22,5/10/22,5/11/22,5/12/22,5/13/22,5/14/22,5/15/22,5/16/22,5/17/22,5/18/22,5/19/22,5/20/22,5/21/22,5/22/22,5/23/22,,,,,
16,daphnia,20,2,2V,1,,,,,0,0,0,0,2,0,6,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
17,daphnia,20,2,2V,1,,1,,5/18/22,0,0,0,0,0,0,8,0,0,11,0,0,9,0,0,8,0,12,0,0,13,0,0,0,0,14,0,0,11,0,0,20,0,0,4,0,4,9,NA,NA,NA,NA,NA,NA,,,,,
18,daphnia,20,2,2V,1,,,,,0,0,0,0,2,0,5,0,0,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
19,daphnia,20,2,2V,1,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
20,daphnia,20,2,2V,1,,,,,0,0,0,0,1,0,10,0,0,11,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
21,daphnia,20,2,2V,1,,,,,0,0,0,0,0,0,5,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
22,daphnia,20,2,2V,1,,,,,0,0,0,0,3,0,6,0,0,7,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
23,daphnia,20,2,2V,1,,,,,0,0,0,0,0,0,7,0,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
24,daphnia,20,2,2V,1,,,,,0,0,0,0,5,0,8,0,0,10,0,0,9,0,11,0,0,6,0,0,17,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
25,daphnia,20,2,2V,1,,,,,0,0,0,0,0,0,8,0,0,11,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
26,daphnia,20,2,2V,1,,,,,0,0,0,0,0,4,0,0,7,0,0,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
27,daphnia,20,2,2V,1,,1,,5/18/22,0,0,0,3,0,0,10,0,0,12,0,0,9,0,6,0,0,8,0,0,18,0,0,15,0,14,0,0,14,0,0,15,1,0,6,0,14,0,NA,NA,NA,NA,NA,NA,,,,,
28,daphnia,20,2,2V,1,,,,,0,0,0,0,6,0,0,2,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
29,daphnia,20,2,2V,1,,,,,0,0,0,0,0,0,8,0,0,9,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
30,daphnia,20,2,2V,1,,,,,0,0,0,4,0,0,6,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
31,daphnia,20,2,2V,1,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
32,daphnia,20,2,2V,1,,,,,0,0,0,4,0,0,0,0,0,5,0,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
33,daphnia,20,2,2V,1,,,,,0,0,0,2,0,0,7,0,0,12,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
34,daphnia,20,2,2V,1,,,,4/12/22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
35,daphnia,20,2,2V,1,,,,,0,0,0,2,0,0,0,0,0,5,0,2,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
36,daphnia,20,2,2V,1,,,,,0,0,0,0,4,0,9,0,0,10,0,0,10,0,0,8,0,8,1,0,12,0,0,13,0,14,0,0,12,0,0,16,0,0,17,0,0,15,0,0,14,0,0,0,,,,,
37,daphnia,20,2,2V,1,,1,,5/23/22,0,0,0,1,6,0,12,0,0,2,0,0,9,0,0,10,0,11,0,0,16,0,0,14,0,0,12,0,14,0,1,16,0,1,18,0,0,16,0,0,15,0,0,NA,,,,,
38,daphnia,20,2,2V,1,,1,,5/23/22,0,0,0,6,0,0,11,0,13,0,0,4,0,0,11,1,14,0,0,4,0,0,16,0,0,17,0,16,0,0,15,0,0,19,0,0,15,0,0,13,0,0,4,NA,,,,,
39,daphnia,20,2,2V,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
40,daphnia,20,2,2V,1,,,,,0,0,0,0,1,0,0,5,0,10,0,0,12,0,0,9,0,11,0,0,9,0,0,12,0,13,0,0,14,0,0,12,0,0,15,0,0,15,0,0,11,0,NA,NA,,,,,
41,daphnia,20,2,2V,1,,1,,5/23/22,0,0,0,0,3,0,0,0,0,2,10,0,12,0,0,0,0,0,12,0,0,17,0,14,0,0,14,0,0,2,0,1,13,0,0,16,0,0,16,0,0,13,0,NA,,,,,
42,daphnia,20,2,2V,1,,,,,0,0,0,3,0,0,8,0,0,10,0,10,0,0,9,0,0,15,0,19,0,0,18,0,0,20,0,0,2,0,0,15,0,17,0,0,17,0,0,16,0,0,15,NA,,,,,
43,daphnia,20,2,2V,1,,,,,0,0,0,5,0,0,10,0,0,15,0,9,0,0,9,0,0,11,0,0,13,0,16,0,0,14,0,0,11,0,0,11,0,0,11,0,0,12,0,0,7,0,NA,NA,,,,,
44,daphnia,20,2,2V,1,,,,,0,0,0,0,5,0,11,0,0,12,0,0,6,0,8,0,0,7,0,0,17,0,0,17,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
45,daphnia,20,2,2V,1,,,,,0,0,0,2,0,0,9,1,0,12,0,9,0,0,8,0,0,11,0,0,17,0,0,18,0,14,0,0,16,0,0,15,0,0,9,0,0,16,0,0,12,NA,NA,NA,,,,,
46,daphnia,20,2,2V,1,,,,,0,0,0,0,3,0,4,1,0,11,0,0,10,0,0,12,0,13,0,0,12,0,0,12,0,0,17,0,6,0,0,1,0,0,17,0,0,13,0,0,12,0,NA,NA,,,,,
47,daphnia,20,2,2V,1,,1,,5/23/22,0,0,0,3,0,0,6,0,0,10,0,0,9,0,10,1,0,11,0,0,12,0,16,0,0,15,0,0,18,0,0,19,0,11,0,0,10,0,0,10,0,0,9,NA,,,,,
48,daphnia,20,2,2V,1,,1,,5/23/22,0,0,0,0,3,0,4,0,0,12,0,0,13,0,13,0,0,12,0,0,12,0,0,13,0,15,0,0,11,0,0,16,0,0,16,0,0,12,0,0,13,0,1,NA,,,,,
49,daphnia,20,2,2V,1,,1,,5/23/22,0,0,0,4,2,0,11,0,0,12,0,13,0,0,14,0,0,14,0,0,15,0,19,0,0,18,0,0,16,0,1,15,0,17,0,0,17,0,0,15,0,0,16,NA,,,,,
50,daphnia,20,2,2V,1,1,,,5/1/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
51,daphnia,20,6,6V,1,,,,,0,0,0,0,6,0,0,10,0,0,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
52,daphnia,20,6,6V,1,,,,,0,0,0,0,0,6,0,0,4,0,0,4,0,0,3,0,0,11,0,0,14,0,0,22,0,0,0,0,0,13,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
53,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
54,daphnia,20,6,6V,1,,1,,5/18/22,0,0,0,0,4,0,0,6,0,0,9,0,0,9,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,2,0,0,16,0,0,15,0,0,NA,NA,NA,NA,NA,NA,,,,,
55,daphnia,20,6,6V,1,,,,,0,0,0,0,4,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
56,daphnia,20,6,6V,1,,,,,0,0,0,0,3,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
57,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
58,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,8,1,0,0,0,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
59,daphnia,20,6,6V,1,,,,,0,0,0,0,2,0,0,6,0,0,9,0,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
60,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
61,daphnia,20,6,6V,1,,,,,0,0,0,0,4,0,0,6,0,0,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
62,daphnia,20,6,6V,1,,,,,0,0,0,0,5,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
63,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,0,3,0,10,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
64,daphnia,20,6,6V,1,,,,,0,0,0,3,0,0,6,0,0,0,0,0,0,9,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
65,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,0,5,0,0,5,0,0,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
66,daphnia,20,6,6V,1,,,,4/12/22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
67,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,10,0,0,1,0,0,0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
68,daphnia,20,6,6V,1,,,,,0,0,0,0,0,5,0,8,0,0,4,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
69,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
70,daphnia,20,6,6V,1,,,,,0,0,0,0,6,0,0,8,0,0,10,0,0,7,0,0,10,0,0,10,0,0,15,0,0,15,0,0,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
71,daphnia,20,6,6V,1,,,,,0,0,0,3,0,0,7,0,0,2,0,0,0,10,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
72,daphnia,20,6,6V,1,,,,,0,0,0,3,0,0,7,0,0,0,0,0,0,4,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
73,daphnia,20,6,6V,1,,,,,0,0,0,5,0,0,0,0,0,11,0,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
74,daphnia,20,6,6V,1,,1,,5/18/22,0,0,0,0,0,0,5,0,0,7,0,0,9,1,0,8,0,0,7,0,0,9,0,0,13,0,0,13,0,0,10,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,,,,,
75,daphnia,20,6,6V,1,,,,,0,0,0,4,0,0,5,0,0,10,0,0,10,0,0,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
76,daphnia,20,6,6V,1,,,,,0,0,0,0,1,0,0,10,0,0,10,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
77,daphnia,20,6,6V,1,,,,4/25/22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
78,daphnia,20,6,6V,1,,,,,0,0,0,0,5,0,0,9,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
79,daphnia,20,6,6V,1,,1,,5/18/22,0,0,0,0,0,0,0,3,0,0,6,0,0,10,0,0,6,0,0,5,0,0,0,0,0,0,11,0,0,11,0,0,14,0,0,10,0,0,NA,NA,NA,NA,NA,NA,,,,,
80,daphnia,20,6,6V,1,1,,,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
81,daphnia,20,6,6V,1,,,,,0,0,0,0,6,0,0,6,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
82,daphnia,20,6,6V,1,,1,,5/18/22,0,0,0,0,4,0,0,8,0,0,7,0,0,8,0,0,10,0,0,11,0,0,0,4,0,0,16,0,0,15,0,0,14,0,0,14,0,0,NA,NA,NA,NA,NA,NA,,,,,
83,daphnia,20,6,6V,1,,,,,0,0,0,0,0,0,0,8,0,0,9,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
84,daphnia,20,6,6V,1,,,,,0,0,0,0,2,0,0,10,0,0,10,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
85,daphnia,20,6,6V,1,,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
86,daphnia,20,6,6V,1,,1,,5/18/22,0,0,0,6,0,0,9,0,0,11,0,0,0,10,0,0,12,0,0,10,0,0,12,0,0,0,6,0,0,16,0,0,20,0,0,13,0,0,NA,NA,NA,NA,NA,NA,,,,,
87,daphnia,20,6,6V,1,,,,,0,0,0,0,4,0,0,13,0,0,11,0,0,11,0,0,0,12,0,0,0,0,0,10,0,0,10,0,0,14,0,0,0,15,0,0,15,0,0,14,0,0,0,0,,,,,
88,daphnia,20,6,6V,1,,,,,0,0,0,0,4,0,0,7,0,0,11,0,0,9,0,0,9,0,0,0,7,0,0,13,0,0,13,0,0,15,0,0,16,0,0,0,14,0,0,14,0,0,17,0,,,,,
89,daphnia,20,6,6V,1,,1,,5/23/22,0,0,0,0,0,2,0,0,6,0,0,0,0,0,9,0,0,11,0,0,0,16,0,0,15,0,0,14,0,0,13,0,1,19,0,0,0,11,0,0,15,0,0,NA,,,,,
90,daphnia,20,6,6V,1,,,,,0,0,0,0,6,0,0,7,0,0,12,0,0,12,0,0,13,2,0,13,0,0,3,13,0,0,12,0,0,14,0,0,19,0,0,18,0,0,0,17,0,0,13,NA,,,,,
91,daphnia,20,6,6V,1,,1,,5/23/22,0,0,0,0,4,0,0,9,0,0,12,0,0,12,0,0,11,0,0,0,18,0,0,19,0,0,18,0,0,22,0,0,23,0,0,0,20,0,0,22,0,0,20,NA,,,,,
92,daphnia,20,6,6V,1,,1,,5/23/22,0,0,0,0,5,0,0,10,0,0,13,0,0,12,0,0,10,0,0,0,14,0,0,0,0,0,19,0,0,18,0,0,16,0,0,16,0,0,12,0,0,0,18,NA,,,,,
93,daphnia,20,6,6V,1,,,,,0,0,0,0,5,0,0,15,0,0,14,0,0,11,0,0,0,12,0,0,17,0,0,17,0,0,18,0,0,16,0,0,18,0,0,19,0,0,17,1,0,0,17,0,,,,,
94,daphnia,20,6,6V,1,,,,,0,0,0,0,5,0,0,11,0,0,8,0,0,11,0,0,11,0,0,10,0,0,1,7,0,0,16,0,0,16,0,0,14,0,0,0,12,0,0,10,0,NA,NA,NA,,,,,
95,daphnia,20,6,6V,1,,1,,5/23/22,0,0,0,0,4,0,0,10,0,0,14,0,0,9,0,0,10,0,0,9,0,0,13,0,0,13,0,0,0,13,0,0,17,0,0,11,0,0,15,0,0,0,14,NA,,,,,
96,daphnia,20,6,6V,1,1,1,,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
97,daphnia,20,6,6V,1,,1,,5/23/22,0,0,0,0,4,0,0,10,0,0,5,0,0,0,14,0,0,12,0,0,13,0,0,9,0,0,7,0,0,1,4,0,0,17,0,0,19,0,0,0,0,0,0,NA,,,,,
98,daphnia,20,6,6V,1,,,,,0,0,0,0,5,0,0,9,0,0,12,0,0,7,0,0,9,0,0,9,2,0,0,16,0,0,15,0,0,17,0,0,19,0,0,15,0,0,0,16,0,0,6,NA,,,,,
99,daphnia,20,6,6V,1,,,,,0,0,0,0,0,6,0,9,0,0,0,0,0,0,12,0,0,13,0,0,15,0,0,14,0,0,0,20,0,0,20,0,0,17,0,0,20,0,0,0,18,0,0,NA,,,,,
